crabsId,kernelVersionId,authorId,authorName,urlSlug
01,99170538,2603295,alexisbcook,titanic-tutorial
02,94433095,175415,pmarcelino,comprehensive-data-exploration-with-python
03,10431564,814006,startupsci,titanic-data-science-solutions
04,1955054,974295,serigne,stacked-regressions-top-4-on-leaderboard
05,1437220,1157784,yassineghouzam,introduction-to-cnn-keras-0-997-top-6
06,2051374,1430849,ldfreeman3,a-data-science-framework-to-achieve-99-accuracy
07,16695845,1245336,janiobachmann,credit-fraud-dealing-with-imbalanced-datasets
08,5301226,978409,willkoehrsen,start-here-a-gentle-introduction
09,31944644,2779944,tanulsingh077,deep-learning-for-nlp-zero-to-transformers-bert
10,2739619,740429,ash316,eda-to-prediction-dietanic
11,1416377,1157784,yassineghouzam,titanic-top-4-with-ensemble-modeling
12,126670599,9028,dansbecker,your-first-machine-learning-model
13,121549029,8791705,ybifoundation,stars-classification
14,126670592,9028,dansbecker,model-validation
15,39268191,5309,abhishek,approaching-almost-any-nlp-problem-on-kaggle
16,126670616,9028,dansbecker,underfitting-and-overfitting
17,27280410,2706866,gunesevitan,titanic-advanced-feature-engineering-tutorial
18,76592997,3399844,karnikakapoor,customer-segmentation-clustering
19,117825740,3363440,faressayah,stock-market-analysis-prediction-using-lstm
20,1465139,993,benhamner,python-data-visualizations
21,67890956,1157642,kanncaa1,feature-selection-and-data-visualization
22,2680288,485000,jagangupta,time-series-basics-exploring-traditional-ts
23,126114707,7835934,gusthema,house-prices-prediction-using-tfdf
24,115700226,400262,apapiu,regularized-linear-models
25,126670666,9028,dansbecker,random-forests
26,2212258,9028,dansbecker,submitting-from-a-kernel
27,6878100,1255206,nadintamer,titanic-survival-predictions-beginner
28,121443641,8791705,ybifoundation,simple-linear-regression
29,21384751,1157642,kanncaa1,plotly-tutorial-for-beginners
30,3013022,1162990,rtatman,data-cleaning-challenge-handling-missing-values
31,126670705,753574,residentmario,indexing-selecting-assigning
32,121450101,8791705,ybifoundation,fish-weight-prediction
33,121442702,8791705,ybifoundation,cancer-prediction
34,121442484,8791705,ybifoundation,chance-of-admission
35,121443478,8791705,ybifoundation,multiple-linear-regression
36,447794,452924,omarelgabry,a-journey-through-titanic
37,121455672,8791705,ybifoundation,purchase-prediction-micronumerosity
38,10917272,9028,dansbecker,handling-missing-values
39,121446284,8791705,ybifoundation,credit-card-default
40,122118116,8791705,ybifoundation,tutorial-decision-tree-regression-scikit-learn
41,6326490,2332656,deffro,eda-is-fun
42,12442041,769452,gpreda,santander-eda-and-prediction
43,62118970,178864,kashnitsky,topic-1-exploratory-data-analysis-with-pandas
44,107751656,1844214,kushal1996,customer-segmentation-k-means-analysis
45,134409430,5379999,kenjee,titanic-project-example
46,7347748,1424766,christofhenkel,how-to-preprocessing-when-using-embeddings
47,560373,812404,sinakhorami,titanic-best-working-classifier
48,200050106,851857,shrutimechlearn,step-by-step-diabetes-classification
49,121443332,8791705,ybifoundation,binary-classification
50,121443147,8791705,ybifoundation,multi-category-classification
